Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
CMNT,Cemindo Gemilang Tbk.,2021-09-08,17125504000,Utama,Basic Materials,1165,19951212160000,2021-11-01 09:00:00,2022-04-15 15:59:00,2021-09-08 09:00:00,2022-04-15 16:00:00,2021-09-08,2022-04-16
CMPP,AirAsia Indonesia Tbk.,1994-12-08,10685124441,Pengembangan,Transportation & Logistic,730,7800140841930,2021-12-27 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
CMRY,Cisarua Mountain Dairy Tbk.,2021-12-06,7934683000,Utama,Consumer Non-Cyclicals,3680,29199633440000,2021-12-06 09:00:00,2022-04-15 15:59:00,2021-12-06 09:00:00,2022-04-15 16:00:00,2021-12-06,2022-04-16
CNKO,Exploitasi Energi Indonesia Tb,2001-11-20,8956361206,Utama,Energy,50,447818060300,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-11-20,2022-04-16
CNTX,Century Textile Industry Tbk.,1979-05-22,70000000,Pengembangan,Consumer Cyclicals,260,18200000000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
COCO,Wahana Interfood Nusantara Tbk,2019-03-20,889863981,Pengembangan,Consumer Non-Cyclicals,246,218906539326,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2019-03-20,2022-04-16
COWL,Cowell Development Tbk.,2007-12-19,4871214021,Pengembangan,Properties & Real Estate,50,243560701050,,,2020-04-16 09:00:00,2022-04-15 16:00:00,2007-12-19,2022-04-16
CPIN,Charoen Pokphand Indonesia Tbk,1991-03-18,16398000000,Utama,Consumer Non-Cyclicals,4990,81826020000000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
CPRI,Capri Nusa Satu Properti Tbk.,2019-04-11,2433379958,Pengembangan,Properties & Real Estate,50,121668997900,,,2020-04-16 09:00:00,2022-04-15 16:00:00,2019-04-11,2022-04-16
CPRO,Central Proteina Prima Tbk.,2006-11-28,59572382787,Utama,Consumer Non-Cyclicals,79,4706218240173,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2006-11-28,2022-04-16
CSAP,Catur Sentosa Adiprana Tbk.,2007-12-12,4458352920,Utama,Consumer Cyclicals,510,2273759989200,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2007-12-12,2022-04-16
CSIS,Cahayasakti Investindo Sukses ,2017-05-10,1307000000,Pengembangan,Properties & Real Estate,95,124165000000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2017-05-10,2022-04-16
CSMI,Cipta Selera Murni Tbk.,2020-04-09,816061500,Pengembangan,Consumer Cyclicals,3700,3019427550000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2020-04-09,2022-04-16
CSRA,Cisadane Sawit Raya Tbk.,2020-01-09,2050000000,Utama,Consumer Non-Cyclicals,760,1558000000000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2020-01-09,2022-04-16
CTBN,Citra Tubindo Tbk.,1989-11-28,800371500,Utama,Basic Materials,2590,2072962185000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
CTRA,Ciputra Development Tbk.,1994-03-28,18560303397,Utama,Properties & Real Estate,965,17910692778105,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
CTTH,Citatah Tbk.,1996-07-03,1230839821,Pengembangan,Industrials,50,61541991050,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
DADA,Diamond Citra Propertindo Tbk.,2020-02-14,7178146908,Pengembangan,Properties & Real Estate,50,358907345400,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2020-02-14,2022-04-16
DART,Duta Anggada Realty Tbk.,1990-05-08,3141390962,Utama,Properties & Real Estate,226,709954357412,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
DAYA,Duta Intidaya Tbk.,2016-06-28,2420547025,Pengembangan,Consumer Non-Cyclicals,262,634183320550,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2016-06-28,2022-04-16
DCII,DCI Indonesia Tbk.,2021-01-06,2383745900,Pengembangan,Technology,41500,98925454850000,2021-11-01 09:00:00,2022-04-15 15:59:00,2021-01-06 09:00:00,2022-04-15 16:00:00,2021-01-06,2022-04-16
DEAL,Dewata Freightinternational Tb,2018-11-11,1146170959,Pengembangan,Transportation & Logistic,50,57308547950,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2018-11-11,2022-04-16
DEFI,Danasupra Erapacific Tbk.,2001-07-06,687266666,Pengembangan,Financials,1455,999972999030,2021-11-01 09:00:00,2022-01-07 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-07-06,2022-04-16
DEPO,Caturkarda Depo Bangunan Tbk.,2021-11-25,6790000000,Utama,Consumer Cyclicals,500,3395000000000,2021-11-25 09:00:00,2022-04-15 15:59:00,2021-11-25 09:00:00,2022-04-15 16:00:00,2021-11-25,2022-04-16
DEWA,Darma Henwa Tbk,2007-09-26,21853733792,Utama,Energy,74,1617176300608,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2007-09-26,2022-04-16
