date, pm25, pm10
2020/11/28, 118, 47
2020/11/29, 90, 29
2020/11/30, 101, 18
2020/12/1, 90, 18
2020/12/2, 108, 31
2020/12/3, 82, 31
2020/12/4, 72, 31
2020/12/5, 66, 26
2020/12/6, 46, 25
2020/12/7, 54, 26
2020/12/8, 79, 34
2020/12/9, 95, 
2020/12/10, 69, 
2020/12/11, 59, 18
2020/12/12, 55, 25
2020/12/13, 59, 27
2020/12/14, 58, 19
2020/12/15, 76, 22
2020/12/16, 112, 19
2020/12/17, 94, 23
2020/12/18, 101, 24
2020/12/19, 71, 29
2020/12/20, 72, 23
2020/12/21, 79, 16
2020/12/23, 53, 30
2020/12/30, 89, 24
2020/12/31, 63, 24
2021/1/1, 91, 26
2021/1/2, 96, 27
2021/1/3, 71, 25
2020/8/7, 64, 57
2020/8/10, 33, 57
2020/8/11, 126, 60
2020/8/12, 134, 57
2020/8/13, 68, 33
2020/8/14, 103, 35
2020/8/15, 140, 62
2020/8/16, 115, 26
2020/8/17, 125, 41
2020/8/18, 96, 50
2020/8/19, 136, 61
2020/8/20, 105, 45
2020/8/21, 99, 42
2020/8/22, 140, 58
2020/8/23, 143, 63
2020/8/24, 104, 57
2020/8/25, 108, 53
2020/8/26, 108, 55
2020/8/27, 107, 53
2020/8/28, 142, 56
2020/8/29, 111, 56
2020/8/30, 112, 57
2020/8/31, 116, 63
2020/9/1, 135, 55
2020/9/2, 120, 61
2020/9/3, 109, 45
2020/9/4, 146, 47
2020/9/5, 106, 58
2020/9/6, 119, 57
2020/9/7, 77, 63
2020/9/8, 100, 
2020/9/9, 66, 
2020/9/10, 119, 
2020/9/11, 141, 
2020/9/12, 117, 57
2020/9/13, 125, 56
2020/9/14, 128, 62
2020/4/1, 70, 18
2020/4/2, 222, 20
2020/4/3, 58, 21
2020/4/4, 89, 39
2020/4/5, 94, 41
2020/4/6, 81, 17
2020/4/7, 62, 15
2020/4/8, 68, 29
2020/4/9, 64, 43
2020/4/10, 104, 36
2020/4/11, 110, 49
2020/4/12, 120, 34
2020/4/13, 45, 33
2020/4/14, 103, 29
2020/4/15, 69, 26
2020/4/16, 101, 32
2020/4/17, 172, 42
2020/4/19, 172, 44
2020/4/20, 151, 52
2020/4/22, 1, 44
2020/4/23, 150, 52
2020/4/24, 102, 43
2020/4/26, 175, 32
2020/6/1, 136, 32
2020/1/10, 64, 15
2020/1/11, 79, 30
2020/1/12, 63, 20
2020/1/16, 93, 37
2020/1/17, 125, 48
2020/1/18, 94, 26
2020/1/19, 128, 43
2020/1/20, 96, 44
2020/1/21, 62, 17
2020/1/22, 106, 30
2020/1/23, 75, 16
2020/1/24, 91, 33
2020/1/25, 70, 17
2020/1/26, 122, 39
2020/1/27, 71, 21
2020/1/28, 126, 44
2020/1/29, 104, 34
2020/1/30, 55, 16
2020/1/31, 80, 30
2020/2/1, 81, 23
2020/2/2, 100, 27
2020/2/3, 79, 24
2020/2/4, 41, 16
2020/2/6, 55, 43
2020/2/7, 87, 31
2020/2/8, 87, 19
2020/2/9, 63, 22
2020/2/10, 100, 28
2020/2/11, 113, 48
2020/2/12, 101, 46
2020/2/13, 84, 31
2020/2/14, 92, 37
2020/2/15, 126, 55
2020/2/16, 106, 34
2020/2/17, 76, 26
2020/2/18, 76, 24
2020/2/19, 73, 24
2020/2/20, 76, 19
2020/2/21, 90, 23
2020/2/22, 90, 21
2020/2/23, 82, 16
2020/2/24, 58, 17
2020/2/25, 77, 17
2020/2/26, 65, 32
2020/2/27, 90, 
2020/2/28, 79, 
2020/2/29, 131, 
2020/3/1, 85, 
2020/3/2, 93, 23
2020/3/3, 56, 33
2020/3/4, 93, 37
2020/3/5, 65, 23
2020/3/6, 92, 33
2020/3/7, 28, 17
2020/3/9, 126, 19
2020/3/12, 74, 31
2020/3/13, 89, 22
2020/3/14, 139, 53
2020/3/15, 128, 39
2020/3/16, 112, 31
2020/3/17, 108, 33
2020/3/18, 60, 31
2020/3/19, 112, 44
2020/3/20, 86, 40
2020/3/21, 99, 34
2020/3/22, 56, 15
2020/3/23, 100, 43
2020/3/24, 126, 40
2020/3/25, 76, 19
2020/3/26, 96, 29
2020/3/27, 91, 31
2020/3/28, 135, 44
2020/3/29, 106, 40
2020/3/30, 102, 42
2020/3/31, 107, 40
2019/10/1, 118, 73
2019/10/2, 148, 
2019/10/3, 134, 62
2019/10/4, 125, 53
2019/10/7, 124, 78
2019/10/8, 150, 
2019/12/5, 114, 
2019/12/6, 100, 
2019/12/7, 69, 
2019/12/8, 101, 
2019/12/9, 125, 
2019/12/10, 97, 
2019/12/11, 145, 
2019/12/12, 110, 
2019/12/13, 132, 
2019/12/14, 105, 
2019/12/15, 102, 
2019/12/16, 153, 
2019/12/17, 98, 
2019/12/20, 14, 51
2019/12/23, 31, 60
2019/12/24, 131, 23
2019/12/25, 91, 40
2019/12/26, 132, 40
2019/7/1, 120, 73
2019/7/2, 132, 68
2019/7/3, 119, 61
2019/7/4, 107, 65
2019/7/5, 118, 56
2019/7/6, 115, 57
2019/7/7, 112, 63
2019/7/8, 119, 67
2019/7/9, 114, 59
2019/7/10, 98, 66
2019/7/11, 130, 64
2019/7/12, 128, 64
2019/7/13, 103, 66
2019/7/14, 122, 62
2019/7/15, 90, 70
2019/7/19, 113, 
2019/7/20, 129, 56
2019/7/21, 110, 66
2019/7/22, 112, 63
2019/7/23, 134, 60
2019/7/24, 116, 71
2019/7/25, 127, 69
2019/7/26, 128, 55
2019/7/27, 127, 69
2019/7/28, 157, 64
2019/7/29, 139, 54
2019/8/7, 97, 62
2019/8/8, 133, 59
2019/8/9, 140, 66
2019/8/10, 120, 60
2019/8/11, 121, 61
2019/8/12, 122, 59
2019/8/13, 124, 56
2019/8/14, 111, 64
2019/8/15, 114, 70
2019/8/16, 147, 63
2019/8/17, 173, 56
2019/8/19, 92, 62
2019/8/20, 121, 58
2019/8/21, 129, 60
2019/8/22, 117, 69
2019/8/23, 119, 63
2019/8/24, 120, 61
2019/8/25, 110, 61
2019/8/26, 110, 60
2019/8/27, 117, 55
2019/8/28, 113, 68
2019/8/29, 135, 62
2019/8/30, 103, 64
2019/9/1, 127, 67
2019/9/2, 125, 60
2019/9/3, 117, 64
2019/9/4, 121, 59
2019/9/5, 121, 60
2019/9/6, 114, 60
2019/9/7, 124, 61
2019/9/8, 122, 59
2019/9/9, 119, 54
2019/9/10, 123, 69
2019/9/11, 127, 65
2019/9/12, 106, 72
2019/9/13, 116, 
2019/9/16, 119, 62
2019/9/17, 119, 58
2019/9/18, 113, 57
2019/9/19, 117, 61
